# Distantzia: 2 Kp: 0.9
# BatezbDist  Errorea  w v X Y dist
2.84385 -0.843848 -0.759464 0.2 5.14223 0.131474 3.65649
3.04394 -1.04394 -0.939542 0.2 5.16191 0.127971 3.93431
4.19239 -2.19239 -1.97315 0.2 5.2186 0.108685 5.5287
6.10526 -4.10526 -3.69473 0.2 5.28286 0.0619112 8
8 -6 -5.4 0.2 5.31323 -0.0107052 8
8 -6 -5.4 0.2 5.30412 -0.0694661 8
6.93683 -4.93683 -4.44315 0.2 5.25321 -0.129492 5.29322
3.60871 -1.60871 -1.44784 0.2 5.19672 -0.148059 2.72595
2.08742 -0.0874212 -0.0786791 0.2 5.12009 -0.129998 1.72635
1.73227 0.26773 0.240957 0.2 5.0767 -0.0892233 1.5298
1.75644 0.243561 0.219205 0.2 5.04518 -0.0381754 1.56149
1.83684 0.163163 0.146846 0.2 5.01283 0.0123406 1.61322
1.91686 0.0831373 0.0748235 0.2 4.96444 0.0760235 1.68291
2.00226 -0.00226378 -0.00203741 0.2 4.91185 0.136293 1.75037
2.04181 -0.0418065 -0.0376258 0.2 4.87085 0.180093 1.79465
2.05446 -0.0544591 -0.0490132 0.2 4.81585 0.238193 1.81675
2.05885 -0.0588498 -0.0529648 0.2 4.77498 0.282117 1.83624
2.05385 -0.0538547 -0.0484692 0.2 4.73467 0.326557 1.83836
2.05247 -0.0524693 -0.0472223 0.2 4.68198 0.386757 1.83939
2.04916 -0.0491574 -0.0442416 0.2 4.64327 0.432594 1.86751
2.04298 -0.0429833 -0.038685 0.2 4.60521 0.478978 1.87906
2.03882 -0.0388188 -0.034937 0.2 4.55544 0.541613 1.88212
2.03863 -0.0386336 -0.0347702 0.2 4.51879 0.589116 1.8714
2.03564 -0.035639 -0.0320751 0.2 4.47074 0.653079 1.90154
2.03286 -0.0328627 -0.0295764 0.2 4.43529 0.701486 1.91617
2.02821 -0.028208 -0.0253872 0.2 4.40033 0.750249 1.92154
2.02114 -0.021137 -0.0190233 0.2 4.35442 0.815765 1.9277
2.01785 -0.0178514 -0.0160662 0.2 4.32045 0.865222 1.93539
2.00858 -0.00857878 -0.0077209 0.2 4.28679 0.914891 1.92319
2.00354 -0.00353789 -0.0031841 0.2 4.2534 0.964738 1.92207
1.99652 0.00348127 0.00313314 0.2 4.20915 1.03138 1.93123
1.9895 0.0105025 0.00945221 0.2 4.16502 1.09811 1.91881
1.98486 0.0151356 0.0136221 0.2 4.1319 1.14815 1.9461
1.98298 0.0170172 0.0153155 0.2 4.09867 1.19811 1.93789
1.97329 0.0267125 0.0240413 0.2 4.06526 1.24794 1.92341
1.96982 0.030183 0.0271647 0.2 4.03161 1.29762 1.94708
1.9597 0.040297 0.0362673 0.2 3.99765 1.34708 1.91824
1.95169 0.0483086 0.0434777 0.2 3.96331 1.39628 1.92373
1.94761 0.0523872 0.0471485 0.2 3.92851 1.44516 1.90889
1.94103 0.0589744 0.0530769 0.2 3.89315 1.49363 1.92237
1.93612 0.0638831 0.0574948 0.2 3.85713 1.54161 1.91402
1.92703 0.0729703 0.0656732 0.2 3.80799 1.60474 1.88826
1.92268 0.0773246 0.0695922 0.2 3.77021 1.65135 1.89884
1.91869 0.081309 0.0731781 0.2 3.71846 1.71236 1.90991
1.91352 0.0864841 0.0778357 0.2 3.67857 1.75718 1.87841
1.90893 0.0910707 0.0819636 0.2 3.62389 1.81557 1.86596
1.90778 0.0922184 0.0829966 0.2 3.58173 1.85825 1.88371
1.90591 0.0940875 0.0846787 0.2 3.53856 1.89992 1.86324
1.90475 0.0952513 0.0857262 0.2 3.49437 1.94051 1.87226
1.90668 0.0933205 0.0839884 0.2 3.43389 1.99287 1.85726
1.90909 0.0909137 0.0818223 0.2 3.38738 2.03077 1.84733
1.91137 0.0886265 0.0797639 0.2 3.33992 2.06748 1.86624
1.91555 0.0844479 0.0760031 0.2 3.29157 2.10301 1.83878
1.92105 0.0789546 0.0710591 0.2 3.24238 2.13736 1.86468
1.92626 0.0737388 0.0663649 0.2 3.1924 2.17055 1.85788
1.9298 0.0702041 0.0631837 0.2 3.14169 2.20262 1.86777
1.93352 0.0664772 0.0598295 0.2 3.09033 2.23364 1.86389
1.9368 0.0632019 0.0568817 0.2 3.02093 2.27343 1.86133
1.94194 0.0580599 0.0522539 0.2 2.96825 2.30215 1.85532
1.94936 0.0506421 0.0455779 0.2 2.91509 2.32996 1.8823
1.95161 0.0483905 0.0435515 0.2 2.86147 2.35689 1.86099
1.95988 0.0401151 0.0361036 0.2 2.80746 2.38302 1.88675
1.96131 0.0386935 0.0348242 0.2 2.7531 2.40842 1.87039
1.96479 0.0352097 0.0316887 0.2 2.68016 2.44128 1.87834
1.97145 0.0285485 0.0256936 0.2 2.62516 2.46525 1.88753
1.97231 0.0276922 0.024923 0.2 2.56992 2.48868 1.89838
1.97239 0.0276145 0.024853 0.2 2.5145 2.51166 1.88918
1.97352 0.0264832 0.0238349 0.2 2.4589 2.53422 1.9139
1.97492 0.025082 0.0225738 0.2 2.40314 2.55636 1.90622
1.97518 0.0248216 0.0223395 0.2 2.34721 2.57809 1.89935
1.97621 0.0237896 0.0214107 0.2 2.29113 2.59943 1.89322
1.97672 0.0232753 0.0209477 0.2 2.21615 2.6273 1.88771
1.97356 0.0264369 0.0237932 0.2 2.14092 2.65452 1.89548
1.97182 0.0281771 0.0253594 0.2 2.08435 2.67451 1.89285
1.97287 0.0271326 0.0244194 0.2 2.02764 2.69411 1.91866
1.97133 0.0286717 0.0258046 0.2 1.9518 2.71959 1.89572
1.96821 0.031792 0.0286128 0.2 1.89476 2.7382 1.90568
1.96608 0.0339206 0.0305286 0.2 1.81849 2.76234 1.90294
1.96521 0.0347865 0.0313078 0.2 1.76112 2.7799 1.9004
1.96704 0.032956 0.0296604 0.2 1.70359 2.79693 1.89831
1.96486 0.0351418 0.0316276 0.2 1.6459 2.81343 1.91773
1.96344 0.036556 0.0329004 0.2 1.58807 2.82941 1.91017
1.96151 0.0384851 0.0346365 0.2 1.53009 2.84486 1.91025
1.95766 0.042343 0.0381087 0.2 1.45256 2.86459 1.91089
1.95973 0.0402679 0.0362411 0.2 1.39424 2.87869 1.88526
1.95931 0.0406893 0.0366204 0.2 1.31625 2.8965 1.88741
1.95943 0.0405651 0.0365086 0.2 1.25759 2.9091 1.90542
1.96109 0.0389129 0.0350216 0.2 1.19879 2.92105 1.88932
1.96087 0.0391339 0.0352205 0.2 1.1202 2.936 1.89454
1.96077 0.0392288 0.0353059 0.2 1.06112 2.94647 1.9007
1.96084 0.0391562 0.0352406 0.2 1.00194 2.95631 1.8874
1.96042 0.0395781 0.0356203 0.2 0.942651 2.96553 1.89521
1.96234 0.0376595 0.0338936 0.2 0.883269 2.97413 1.88
1.96398 0.0360235 0.0324211 0.2 0.803959 2.9846 1.88978
1.96638 0.0336189 0.030257 0.2 0.744385 2.99174 1.87737
1.96822 0.0317765 0.0285989 0.2 0.684743 2.99828 1.90931
1.96717 0.0328308 0.0295478 0.2 0.605129 3.00613 1.90185
1.96606 0.0339404 0.0305464 0.2 0.545362 3.0114 1.89511
1.96508 0.0349151 0.0314236 0.2 0.48555 3.01615 1.90907
1.9642 0.0358045 0.0322241 0.2 0.425698 3.02036 1.90197
1.96518 0.0348173 0.0313356 0.2 0.345839 3.0251 1.89748
1.96632 0.0336827 0.0303144 0.2 0.285909 3.02798 1.89373
1.96662 0.0333838 0.0300455 0.2 0.225953 3.03029 1.89075
1.96757 0.0324308 0.0291877 0.2 0.16598 3.03206 1.88849
1.97045 0.0295532 0.0265979 0.2 0.105992 3.03328 1.90657
1.9685 0.0314968 0.0283471 0.2 0.0459964 3.03397 1.90593
1.96643 0.0335705 0.0302135 0.2 -0.0340031 3.03411 1.90591
1.96369 0.0363052 0.0326747 0.2 -0.094001 3.03363 1.9069
1.96388 0.0361156 0.0325041 0.2 -0.173987 3.03215 1.88846
1.96508 0.0349168 0.0314251 0.2 -0.233961 3.03038 1.89174
1.96593 0.0340705 0.0306634 0.2 -0.293914 3.02802 1.89509
1.96526 0.0347418 0.0312676 0.2 -0.353842 3.02509 1.89915
1.96535 0.0346525 0.0311872 0.2 -0.41374 3.02159 1.90393
1.96557 0.0344291 0.0309862 0.2 -0.473603 3.01755 1.90946
1.96582 0.0341799 0.0307619 0.2 -0.553356 3.01128 1.89564
1.96465 0.0353482 0.0318134 0.2 -0.613117 3.00592 1.90261
1.96491 0.0350864 0.0315778 0.2 -0.672825 3.00002 1.91032
1.96401 0.0359894 0.0323905 0.2 -0.732475 2.99355 1.87856
1.96593 0.0340729 0.0306656 0.2 -0.792061 2.98651 1.88778
1.96747 0.0325303 0.0292773 0.2 -0.851576 2.9789 1.89778
1.9685 0.0315003 0.0283503 0.2 -0.911018 2.97074 1.8882
1.96833 0.0316669 0.0285002 0.2 -0.970384 2.96204 1.89941
1.96753 0.0324668 0.0292201 0.2 -1.02967 2.95284 1.89509
1.96681 0.0331923 0.029873 0.2 -1.1086 2.93978 1.90785
1.9681 0.0319048 0.0287143 0.2 -1.16769 2.92939 1.90575
1.96432 0.0356829 0.0321146 0.2 -1.24634 2.91472 1.90481
1.96319 0.0368134 0.033132 0.2 -1.3052 2.90311 1.87943
1.96402 0.0359783 0.0323805 0.2 -1.38352 2.8868 1.8959
1.96515 0.0348489 0.031364 0.2 -1.44212 2.8739 1.89277
1.96294 0.0370648 0.0333583 0.2 -1.50058 2.86042 1.89644
1.96329 0.0367051 0.0330346 0.2 -1.55892 2.84639 1.89494
1.96161 0.0383859 0.0345473 0.2 -1.61712 2.83179 1.91505
1.96347 0.0365301 0.0328771 0.2 -1.67517 2.81662 1.91538
1.96393 0.0360703 0.0324633 0.2 -1.75232 2.79548 1.89581
